Start,Output0,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10,Output11,Output12,Output13,Output14,Output15,Output16,Output17,Output18,Output19,Output20,Output21,Output22,Output23,Output24,Output25,Output26,Output27,Output28,Output29,Output30,Output31,Output32,Output33,Output34,Output35,Output36,Output37
Value0,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
82.9832,81.1666,80.1512,79.6501,78.2508,78.2781,76.3181,75.5397,74.2145,74.6601,70.8038,70.7719,71.2333,66.3362,64.50829999999999,65.6541,66.5528
83.4515,81.5436,80.4929,79.94449999999999,78.4534,78.48389999999999,76.4043,75.5878,74.2226,74.6999,70.5894,70.518,70.9661,65.6742,63.7085,65.0017,65.9774
84.9086,83.0268,82.0466,81.44839999999999,79.9432,79.97800000000001,77.9233,77.1502,75.9398,76.41839999999999,72.3836,72.2004,72.5046,67.15379999999999,65.2118,66.6761,67.6695
85.0193,83.1432,82.1531,81.5668,80.0678,80.1017,78.0433,77.261,76.0175,76.49669999999999,72.4338,72.2724,72.6074,67.2359,65.273,66.7142,67.7117
84.9237,83.0443,82.053,81.4658,79.9654,79.99929999999999,77.9399,77.1575,75.9142,76.3935,72.3322,72.1707,72.5051,67.13940000000001,65.1797,66.6189,67.61500000000001
84.9237,83.0443,82.053,81.4658,79.9654,79.99929999999999,77.9399,77.1575,75.9142,76.3935,72.3322,72.1707,72.5051,67.13940000000001,65.1797,66.6189,67.61500000000001
84.9237,83.0443,82.053,81.4658,79.9654,79.99929999999999,77.9399,77.1575,75.9142,76.3935,72.3322,72.1707,72.5051,67.13940000000001,65.1797,66.6189,67.61500000000001
84.9285,83.0491,82.0578,81.4706,79.9702,80.0041,77.9446,77.1622,75.9189,76.3981,72.3365,72.175,72.5095,67.1431,65.18310000000001,66.6226,67.61880000000001
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
84.928,83.0486,82.0573,81.4702,79.9698,80.0037,77.9443,77.1618,75.9185,76.3978,72.33619999999999,72.17479999999999,72.50919999999999,67.143,65.18310000000001,66.6225,67.6186
