Start,Output0,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10,Output11,Output12,Output13,Output14,Output15,Output16,Output17,Output18,Output19,Output20,Output21,Output22,Output23,Output24,Output25,Output26,Output27,Output28,Output29,Output30,Output31,Output32
Value0,0.1142,99.9773,0.9662000000000001,0.4158,0.0049,0.10189999999999999,100.0,1.1440000000000001,100.0,100.0,64.2919,99.9944,7.7916,99.99980000000001,49.714999999999996,50.092499999999994,50.0049,50.029900000000005,50.3065,49.986999999999995,50.1397,50.100199999999994,50.105999999999995,50.108200000000004,0.0,60.2243,62.449,81.78840000000001,0.171659,0.318779,0.391216,106.77
Value1,0.1142,99.9645,0.9662000000000001,0.4158,0.0049,0.10189999999999999,100.0,1.1440000000000001,100.0,100.0,61.4271,99.9911,8.683200000000001,99.9997,49.714999999999996,50.092499999999994,50.0049,50.029900000000005,50.3065,49.986999999999995,50.1397,50.100199999999994,50.105999999999995,50.108200000000004,0.0,59.7426,61.8617,80.6613,0.171659,0.318779,0.391216,96.29
Value2,0.1142,99.956,0.9662000000000001,0.4158,0.0049,0.10189999999999999,100.0,1.1440000000000001,100.0,100.0,59.762,99.9886,9.171899999999999,99.9996,49.714999999999996,50.092499999999994,50.0049,50.029900000000005,50.3065,49.986999999999995,50.1397,50.100199999999994,50.105999999999995,50.108200000000004,0.0,59.5017,61.5696,80.08619999999999,0.171659,0.318779,0.391215,100.7
Value3,0.1142,99.95009999999999,0.9662000000000001,0.4158,0.0049,0.10189999999999999,100.0,1.1440000000000001,100.0,100.0,59.0853,99.9872,9.4302,99.9995,49.714999999999996,50.092499999999994,50.0049,50.029900000000005,50.3065,49.986999999999995,50.1397,50.100199999999994,50.105999999999995,50.108200000000004,0.0,59.372,61.409400000000005,79.7628,0.171659,0.318779,0.391215,98.23
Value4,0.1142,99.9325,0.9662000000000001,0.4158,0.0049,0.10189999999999999,100.0,1.1440000000000001,99.9999,100.0,57.01310000000001,99.9825,10.1278,99.9992,49.714999999999996,50.092499999999994,50.0049,50.029900000000005,50.3065,49.986999999999995,50.1397,50.100199999999994,50.105999999999995,50.108200000000004,0.0,59.046200000000006,61.0104,78.9474,0.171659,0.318779,0.391214,93.84
Value5,0.1142,99.9329,0.9662000000000001,0.4158,0.0049,0.10189999999999999,100.0,1.1440000000000001,99.9999,100.0,57.047000000000004,99.9826,10.1133,99.9992,49.714999999999996,50.092499999999994,50.0049,50.029900000000005,50.3065,49.986999999999995,50.1397,50.100199999999994,50.105999999999995,50.108200000000004,0.0,59.053,61.018899999999995,78.96509999999999,0.171659,0.318779,0.391214,93.91
Value6,0.1142,99.9017,0.9662000000000001,0.4158,0.0049,0.10189999999999999,100.0,1.1440000000000001,99.9999,100.0,54.1292,99.9739,11.084299999999999,99.9985,49.714999999999996,50.092499999999994,50.0049,50.029900000000005,50.3065,49.986999999999995,50.1397,50.100199999999994,50.105999999999995,50.108200000000004,0.0,58.633599999999994,60.506099999999996,77.889,0.171659,0.318779,0.391213,88.15
Value7,0.1142,99.8873,0.9662000000000001,0.4158,0.0049,0.10189999999999999,100.0,1.1440000000000001,99.9999,100.0,52.939099999999996,99.96969999999999,11.4642,99.9982,49.714999999999996,50.092499999999994,50.0049,50.029900000000005,50.3065,49.986999999999995,50.1397,50.100199999999994,50.105999999999995,50.108200000000004,0.0,58.4803,60.319500000000005,77.4903,0.171659,0.318779,0.391212,90.18
Value8,0.1142,99.8614,0.9662000000000001,0.4158,0.0049,0.10189999999999999,100.0,1.1440000000000001,99.99980000000001,100.0,50.8209,99.9614,12.0965,99.99749999999999,49.714999999999996,50.092499999999994,50.0049,50.029900000000005,50.3065,49.986999999999995,50.1397,50.100199999999994,50.105999999999995,50.108200000000004,0.0,58.2396,60.0286,76.8625,0.171659,0.318779,0.391211,88.94
Value9,0.1142,99.872,0.9662000000000001,0.4158,0.0049,0.10189999999999999,100.0,1.1440000000000001,99.99980000000001,100.0,51.4512,99.9645,11.8733,99.9978,49.714999999999996,50.092499999999994,50.0049,50.029900000000005,50.3065,49.986999999999995,50.1397,50.100199999999994,50.105999999999995,50.108200000000004,0.0,58.3269,60.1357,77.0967,0.171659,0.318779,0.391211,86.5
Value10,0.1142,99.7586,0.9662000000000001,0.4158,0.0049,0.10189999999999999,100.0,1.1440000000000001,99.99940000000001,100.0,45.9714,99.92999999999999,13.7917,99.99430000000001,49.714999999999996,50.092499999999994,50.0049,50.029900000000005,50.3065,49.986999999999995,50.1397,50.100199999999994,50.105999999999995,50.108200000000004,0.0,57.6226,59.2731,75.1722,0.171659,0.318779,0.391206,77.44
Value11,0.1142,99.7524,0.9662000000000001,0.4158,0.0049,0.10189999999999999,100.0,1.1440000000000001,99.9993,100.0,46.0804,99.9292,13.8293,99.9941,49.714999999999996,50.092499999999994,50.0049,50.029900000000005,50.3065,49.986999999999995,50.1397,50.100199999999994,50.105999999999995,50.108200000000004,0.0,57.603300000000004,59.2468,75.1087,0.171659,0.318779,0.391205,81.17
Value12,0.1142,99.7637,0.9662000000000001,0.4158,0.0049,0.10189999999999999,100.0,1.1440000000000001,99.99940000000001,100.0,46.909,99.9339,13.625100000000002,99.9946,49.714999999999996,50.092499999999994,50.0049,50.029900000000005,50.3065,49.986999999999995,50.1397,50.100199999999994,50.105999999999995,50.108200000000004,0.0,57.6662,59.3208,75.2735,0.171659,0.318779,0.391206,78.69
